WKT
"LINESTRING (114.2845590 30.5791660, 114.2846670 30.5791474, 114.2846861 30.5791435, 114.2849835 30.5790827, 114.2850545 30.5790582, 114.2853053 30.5789719, 114.2855843 30.5788287, 114.2858847 30.5786532)"
"LINESTRING (114.2858847 30.5786532, 114.2862334 30.5785101, 114.2867130 30.5782294, 114.2871254 30.5779991, 114.2872913 30.5779022)"
"LINESTRING (114.2872913 30.5779022, 114.2876480 30.5776513, 114.2878343 30.5775829)"
"LINESTRING (114.2878343 30.5775829, 114.2879593 30.5774842, 114.2881920 30.5772779, 114.2884710 30.5769886, 114.2886594 30.5767781, 114.2887336 30.5766930, 114.2888867 30.5765886, 114.2890693 30.5765028)"
"LINESTRING (114.2834041 30.5739280, 114.2834324 30.5739979, 114.2834450 30.5740289, 114.2836460 30.5746970)"
"LINESTRING (114.2836460 30.5746970, 114.2834450 30.5740289, 114.2834324 30.5739979, 114.2834041 30.5739280)"
"LINESTRING (114.2875525 30.5739280, 114.2879207 30.5745238)"
"LINESTRING (114.2852318 30.5776353, 114.2854124 30.5778865, 114.2856159 30.5782168, 114.2858847 30.5786532)"
"LINESTRING (114.2858847 30.5786532, 114.2862096 30.5791660)"
"LINESTRING (114.2853562 30.5739280, 114.2852026 30.5740014)"
"LINESTRING (114.2852026 30.5740014, 114.2848394 30.5741694)"
"LINESTRING (114.2848394 30.5741694, 114.2842402 30.5744466, 114.2837649 30.5746664, 114.2836460 30.5746970)"
"LINESTRING (114.2836460 30.5746970, 114.2833822 30.5747647, 114.2830250 30.5747745)"
"LINESTRING (114.2879815 30.5791660, 114.2872913 30.5779022)"
"LINESTRING (114.2872913 30.5779022, 114.2879815 30.5791660)"
"LINESTRING (114.2852318 30.5776353, 114.2856313 30.5774493, 114.2856881 30.5774246, 114.2860996 30.5772460, 114.2861313 30.5772323, 114.2863590 30.5770995, 114.2866715 30.5769171)"
"LINESTRING (114.2866715 30.5769171, 114.2863590 30.5770995, 114.2861313 30.5772323, 114.2860996 30.5772460, 114.2856881 30.5774246, 114.2856313 30.5774493, 114.2852318 30.5776353)"
"LINESTRING (114.2866715 30.5769171, 114.2867493 30.5768718)"
"LINESTRING (114.2867493 30.5768718, 114.2866715 30.5769171)"
"LINESTRING (114.2867493 30.5768718, 114.2871273 30.5766443, 114.2877697 30.5763502, 114.2881886 30.5761382, 114.2884405 30.5760107, 114.2887143 30.5758754)"
"LINESTRING (114.2887143 30.5758754, 114.2884405 30.5760107, 114.2881886 30.5761382, 114.2877697 30.5763502, 114.2871273 30.5766443, 114.2867493 30.5768718)"
"LINESTRING (114.2867493 30.5768718, 114.2870786 30.5770748, 114.2871213 30.5771163, 114.2872046 30.5771973, 114.2874138 30.5773254, 114.2878343 30.5775829)"
"LINESTRING (114.2878343 30.5775829, 114.2874138 30.5773254, 114.2872046 30.5771973, 114.2871213 30.5771163, 114.2870786 30.5770748, 114.2867493 30.5768718)"
"LINESTRING (114.2849748 30.5772635, 114.2853182 30.5770713, 114.2854646 30.5770153, 114.2854994 30.5770023, 114.2858508 30.5768718, 114.2861836 30.5766999)"
"LINESTRING (114.2861836 30.5766999, 114.2858508 30.5768718, 114.2854994 30.5770023, 114.2854646 30.5770153, 114.2853182 30.5770713, 114.2849748 30.5772635)"
"LINESTRING (114.2861836 30.5766999, 114.2862724 30.5766540)"
"LINESTRING (114.2862724 30.5766540, 114.2861836 30.5766999)"
"LINESTRING (114.2862724 30.5766540, 114.2864200 30.5765778, 114.2868936 30.5763194, 114.2869525 30.5762872, 114.2874096 30.5760582, 114.2875320 30.5759968, 114.2880909 30.5757167)"
"LINESTRING (114.2880909 30.5757167, 114.2875320 30.5759968, 114.2874096 30.5760582, 114.2869525 30.5762872, 114.2868936 30.5763194, 114.2864200 30.5765778, 114.2862724 30.5766540)"
"LINESTRING (114.2880909 30.5757167, 114.2881396 30.5757272, 114.2885207 30.5755457)"
"LINESTRING (114.2885207 30.5755457, 114.2881396 30.5757272, 114.2880909 30.5757167)"
"LINESTRING (114.2880909 30.5757167, 114.2879301 30.5754477)"
"LINESTRING (114.2879301 30.5754477, 114.2880909 30.5757167)"
"LINESTRING (114.2879301 30.5754477, 114.2877116 30.5750822, 114.2874949 30.5747197)"
"LINESTRING (114.2874949 30.5747197, 114.2877116 30.5750822, 114.2879301 30.5754477)"
"LINESTRING (114.2879207 30.5745238, 114.2874949 30.5747197)"
"LINESTRING (114.2874949 30.5747197, 114.2879207 30.5745238)"
"LINESTRING (114.2874949 30.5747197, 114.2861553 30.5753361, 114.2860406 30.5753888, 114.2860180 30.5753494, 114.2854438 30.5743484, 114.2854054 30.5742814, 114.2852026 30.5740014)"
"LINESTRING (114.2852026 30.5740014, 114.2854054 30.5742814, 114.2854438 30.5743484, 114.2860180 30.5753494, 114.2860406 30.5753888, 114.2861553 30.5753361, 114.2874949 30.5747197)"
"LINESTRING (114.2883483 30.5752521, 114.2879301 30.5754477)"
"LINESTRING (114.2879301 30.5754477, 114.2883483 30.5752521)"
"LINESTRING (114.2879301 30.5754477, 114.2873648 30.5757350, 114.2871452 30.5758155, 114.2869582 30.5758890, 114.2867062 30.5760535, 114.2864866 30.5761830, 114.2864379 30.5761725, 114.2862996 30.5762530)"
"LINESTRING (114.2862996 30.5762530, 114.2864379 30.5761725, 114.2864866 30.5761830, 114.2867062 30.5760535, 114.2869582 30.5758890, 114.2871452 30.5758155, 114.2873648 30.5757350, 114.2879301 30.5754477)"
"LINESTRING (114.2861836 30.5766999, 114.2859585 30.5764762, 114.2858688 30.5763870, 114.2858020 30.5763275, 114.2856901 30.5762278, 114.2855853 30.5761960, 114.2855349 30.5762039, 114.2854497 30.5762172, 114.2852618 30.5759652)"
"LINESTRING (114.2852618 30.5759652, 114.2854497 30.5762172, 114.2855349 30.5762039, 114.2855853 30.5761960, 114.2856901 30.5762278, 114.2858020 30.5763275, 114.2858688 30.5763870, 114.2859585 30.5764762, 114.2861836 30.5766999)"
"LINESTRING (114.2866715 30.5769171, 114.2863810 30.5767256, 114.2862724 30.5766540)"
"LINESTRING (114.2862724 30.5766540, 114.2863810 30.5767256, 114.2866715 30.5769171)"
"LINESTRING (114.2851400 30.5760222, 114.2850968 30.5759435, 114.2850851 30.5759343, 114.2850291 30.5758905, 114.2849601 30.5758752, 114.2848516 30.5758512, 114.2848134 30.5758427, 114.2846061 30.5757637, 114.2845700 30.5757499, 114.2843050 30.5756491, 114.2840713 30.5757343)"
"LINESTRING (114.2840713 30.5757343, 114.2843050 30.5756491, 114.2845700 30.5757499, 114.2846061 30.5757637, 114.2848134 30.5758427, 114.2848516 30.5758512, 114.2849601 30.5758752, 114.2850291 30.5758905, 114.2850851 30.5759343, 114.2850968 30.5759435, 114.2851400 30.5760222)"
"LINESTRING (114.2890693 30.5765028, 114.2890980 30.5764893)"
"LINESTRING (114.2835604 30.5781893, 114.2837420 30.5781252, 114.2838871 30.5780739, 114.2843201 30.5778744, 114.2844589 30.5778179, 114.2844823 30.5778084, 114.2846911 30.5777234, 114.2847287 30.5777082, 114.2847653 30.5777572, 114.2852141 30.5776106)"
"LINESTRING (114.2852141 30.5776106, 114.2847653 30.5777572, 114.2847287 30.5777082, 114.2846911 30.5777234, 114.2844823 30.5778084, 114.2844589 30.5778179, 114.2843201 30.5778744, 114.2838871 30.5780739, 114.2837420 30.5781252, 114.2835604 30.5781893)"
"LINESTRING (114.2832075 30.5774228, 114.2834943 30.5773204, 114.2835416 30.5773073, 114.2837386 30.5772525, 114.2838856 30.5772117, 114.2841259 30.5771507, 114.2842337 30.5771295, 114.2842565 30.5771224, 114.2845603 30.5770287, 114.2847681 30.5769527)"
"LINESTRING (114.2847681 30.5769527, 114.2845603 30.5770287, 114.2842565 30.5771224, 114.2842337 30.5771295, 114.2841259 30.5771507, 114.2838856 30.5772117, 114.2837386 30.5772525, 114.2835416 30.5773073, 114.2834943 30.5773204, 114.2832075 30.5774228)"
"LINESTRING (114.2836018 30.5783026, 114.2831670 30.5784309, 114.2830250 30.5785097)"
"LINESTRING (114.2830250 30.5785097, 114.2831670 30.5784309, 114.2836018 30.5783026)"
"LINESTRING (114.2830250 30.5760158, 114.2832841 30.5759461)"
"LINESTRING (114.2832841 30.5759461, 114.2830250 30.5760158)"
"LINESTRING (114.2832841 30.5759461, 114.2840713 30.5757343)"
"LINESTRING (114.2840713 30.5757343, 114.2832841 30.5759461)"
"LINESTRING (114.2832841 30.5759461, 114.2830250 30.5751608)"
"LINESTRING (114.2830250 30.5751608, 114.2832841 30.5759461)"
"LINESTRING (114.2890693 30.5765028, 114.2890980 30.5765858)"
"LINESTRING (114.2890980 30.5765858, 114.2890693 30.5765028)"
