WKT,networkGrp
"LINESTRING (2551721.85151812 6671541.01895601,2551626.51162296 6671587.90971879)","0"
"LINESTRING (2551259.21750231 6671729.32217704,2551175.31146495 6671566.63483559)","0"
"LINESTRING (2551906.43490086 6671776.92310283,2551795.3878879 6671740.49474147,2551728.99561687 6671713.73860016,2551700.76570242 6671694.38415775,2551668.72450204 6671661.24655172,2551626.51162296 6671587.90971879)","0"
"LINESTRING (2552393.58653963 6671805.22959999,2552305.31649738 6671800.68855769,2552220.17302952 6671809.45056882,2552097.85714949 6671828.46493317)","0"
"LINESTRING (2552393.58653963 6671805.22959999,2552394.79922151 6671836.7568364)","0"
"LINESTRING (2552411.21579946 6671838.25718077,2552394.79922151 6671836.7568364)","0"
"LINESTRING (2552965.90639485 6671923.68678934,2552898.48293174 6671882.23727547,2552730.6626075 6671826.4844786,2552542.17719392 6671766.67074962,2552501.82871012 6671761.04945937,2552459.66532826 6671765.19040984,2552434.79297524 6671777.54324517,2552393.58653963 6671805.22959999)","0"
"LINESTRING (2552529.26666905 6671861.65255069,2552411.21579946 6671838.25718077)","0"
"LINESTRING (2552394.79922151 6671836.7568364,2552326.26207095 6671842.43814042,2552268.09458797 6671857.09150379,2552210.31483322 6671883.3675349,2552192.64432569 6671895.10022789)","0"
"LINESTRING (2552608.38797514 6671893.3998376,2552538.31641076 6671874.82557428,2552529.26666905 6671861.65255069)","0"
"LINESTRING (2552411.21579946 6671838.25718077,2552442.06081703 6671888.92881138,2552450.05461805 6671923.5267526,2552452.26549388 6671946.27197329,2552450.13711342 6671958.45476959)","0"
"LINESTRING (2552707.5061581 6671918.55561158,2552608.38797514 6671893.3998376)","0"
"LINESTRING (2552192.64432569 6671895.10022789,2552225.46923206 6671927.74772144)","0"
"LINESTRING (2553136.63880554 6671827.36468063,2553237.89361849 6671761.56957875,2553258.68245087 6671752.25744135)","0"
"LINESTRING (2553258.68245087 6671752.25744135,2553257.83274859 6671759.61913107,2553231.31048824 6671810.2207456,2553213.26875156 6671834.34628311)","0"
"LINESTRING (2553166.53512639 6671840.25763993,2553136.63880554 6671827.36468063)","0"
"LINESTRING (2553213.26875156 6671834.34628311,2553224.35612883 6671841.25786952)","0"
"LINESTRING (2553213.26875156 6671834.34628311,2553194.08857883 6671842.61818175,2553180.64183408 6671843.99849857,2553166.53512639 6671840.25763993)","0"
"LINESTRING (2552965.90639485 6671923.68678934,2552984.81433288 6671922.00640364,2553000.43070577 6671913.35441776,2553136.63880554 6671827.36468063)","0"
"LINESTRING (2553166.53512639 6671840.25763993,2553133.87521076 6671847.91939853,2553100.52233405 6671879.85672907,2553073.73608852 6671972.96810082,2553033.42060287 6672024.9000207)","0"
"LINESTRING (2552951.60169829 6671978.96947831,2552890.60462423 6671963.87601392,2552707.5061581 6671918.55561158)","0"
"LINESTRING (2552965.90639485 6671923.68678934,2552951.60169829 6671978.96947831)","0"
"LINESTRING (2553023.999632 6672035.85253462,2552985.42479859 6671987.86151929,2552951.60169829 6671978.96947831)","0"
"LINESTRING (2552097.85714949 6671828.46493317,2552023.15759504 6671823.33375541,2551985.72119769 6671814.58174658,2551951.16388862 6671802.51897782,2551906.43490086 6671776.92310283)","0"
"LINESTRING (2551364.53108729 6671947.52226027,2551259.21750231 6671729.32217704)","0"
"LINESTRING (2551906.43490086 6671776.92310283,2551837.27903505 6671991.54236415)","0"
"LINESTRING (2551374.3892836 6672043.31424729,2551364.53108729 6671947.52226027)","0"
"LINESTRING (2552039.31018782 6672058.02762444,2551837.27903505 6671991.54236415)","0"
"LINESTRING (2551376.44341823 6672068.3900029,2551364.99306134 6672039.06327157,2551189.78115225 6672020.54902202)","0"
"LINESTRING (2551376.44341823 6672068.3900029,2551374.3892836 6672043.31424729)","0"
"LINESTRING (2551837.27903505 6671991.54236415,2551808.94187663 6672073.83125183,2552011.94647472 6672145.08760722)","0"
"LINESTRING (2552039.31018782 6672058.02762444,2552011.94647472 6672145.08760722)","0"
"LINESTRING (2552022.74511821 6672148.88847963,2552011.94647472 6672145.08760722)","0"
"LINESTRING (2550838.30964291 6671750.97714748,2550779.39970163 6671848.84961204)","0"
"LINESTRING (2550578.80396824 6671730.59246861,2550450.47417598 6671955.41407166)","0"
"LINESTRING (2551120.27055637 6671890.58919248,2551105.64412787 6671861.78258053,2551086.29896441 6671839.64749989)","0"
"LINESTRING (2550692.13610286 6672000.93451992,2550779.39970163 6671848.84961204)","0"
"LINESTRING (2551189.78115225 6672020.54902202,2551164.66131313 6671899.61126331,2551154.43188767 6671886.57827186,2551139.95395083 6671884.21773005,2551120.27055637 6671890.58919248)","0"
"LINESTRING (2551136.70363339 6672030.92140278,2551110.08237859 6671906.72289563,2551120.27055637 6671890.58919248)","0"
"LINESTRING (2551120.27055637 6671890.58919248,2551045.8597357 6671915.75496875,2551024.73267232 6671931.33854563,2550978.2795314 6672002.13479542,2550945.1988894 6672062.23859098)","0"
