WKT,networkGrp
"LINESTRING (2552498.91662368 6672416.2198399,2552493.42243227 6672477.25384897,2552483.81172206 6672500.92928317)","0"
"LINESTRING (2552299.60781801 6672464.14083916,2552249.45888466 6672531.89639102)","0"
"LINESTRING (2552249.45888466 6672531.89639102,2552178.76860503 6672482.04494867)","0"
"LINESTRING (2552640.77565606 6672516.93295648,2552483.81172206 6672500.92928317)","0"
"LINESTRING (2552437.82055519 6672563.9737537,2552299.60781801 6672464.14083916)","0"
"LINESTRING (2552733.04672359 6672525.65495843,2552640.77565606 6672516.93295648)","0"
"LINESTRING (2551327.35867511 6672469.2920215,2551318.94414772 6672449.85756073)","0"
"LINESTRING (2551327.35867511 6672469.2920215,2551302.58531652 6672478.3741061)","0"
"LINESTRING (2551946.02442728 6672514.9625042,2551849.59559328 6672448.04714519)","0"
"LINESTRING (2551280.31156754 6672498.72877809,2551302.58531652 6672478.3741061)","0"
"LINESTRING (2551355.99281685 6672543.76911615,2551327.35867511 6672469.2920215)","0"
"LINESTRING (2551849.59559328 6672448.04714519,2551839.77039512 6672466.1913098,2551799.90038445 6672520.06367507,2551797.24403365 6672528.16553468,2551800.23036592 6672605.52329052)","0"
"LINESTRING (2552052.25371084 6672642.65181259,2551976.61370922 6672545.16943756,2551946.02442728 6672514.9625042)","0"
"LINESTRING (2551562.90769532 6672521.09391154,2551522.33647403 6672575.81647194,2551463.31928878 6672655.41474205)","0"
"LINESTRING (2551675.59636608 6672560.72300756,2551619.86249641 6672639.22102512)","0"
"LINESTRING (2551414.61402435 6672657.84529993,2551389.22195051 6672629.37876604,2551355.99281685 6672543.76911615)","0"
"LINESTRING (2552483.81172206 6672500.92928317,2552510.48247408 6672559.75278486)","0"
"LINESTRING (2552483.81172206 6672500.92928317,2552437.82055519 6672563.9737537)","0"
"LINESTRING (2552178.76860503 6672482.04494867,2552141.4724498 6672536.61747464,2552153.31878444 6672560.25289965,2552203.34397474 6672596.17114393)","0"
"LINESTRING (2552640.77565606 6672516.93295648,2552637.00561781 6672559.45271599,2552630.04300887 6672569.12493604,2552510.48247408 6672559.75278486)","0"
"LINESTRING (2552249.45888466 6672531.89639102,2552203.34397474 6672596.17114393)","0"
"LINESTRING (2552387.34988991 6672630.48902087,2552249.45888466 6672531.89639102)","0"
"LINESTRING (2552510.48247408 6672559.75278486,2552518.48452464 6672622.86727146)","0"
"LINESTRING (2552437.82055519 6672563.9737537,2552398.70950189 6672619.20643119)","0"
"LINESTRING (2552518.48452464 6672622.86727146,2552437.82055519 6672563.9737537)","0"
"LINESTRING (2552398.70950189 6672619.20643119,2552387.34988991 6672630.48902087)","0"
"LINESTRING (2551032.58623122 6672510.75153766,2551064.70167743 6672466.02127077,2551073.95765756 6672453.12831147,2551108.06124211 6672405.62740864)","0"
"LINESTRING (2550317.99486678 6672508.10092927,2550357.79063162 6672459.86985885,2550399.5992834 6672418.32032203,2550580.99009545 6672513.14208636)","0"
"LINESTRING (2551032.58623122 6672510.75153766,2550968.42958463 6672463.97080013)","0"
"LINESTRING (2550580.99009545 6672513.14208636,2550611.98360468 6672531.37627163)","0"
"LINESTRING (2550317.99486678 6672508.10092927,2550408.5995279 6672561.51318893)","0"
"LINESTRING (2551022.64553955 6672570.4152322,2551026.63831529 6672522.40421229,2551032.58623122 6672510.75153766)","0"
"LINESTRING (2550253.87946787 6672593.78059523,2550268.20066351 6672568.44477993,2550317.99486678 6672508.10092927)","0"
"LINESTRING (2551020.76464519 6672593.25047355,2551022.64553955 6672570.4152322)","0"
"LINESTRING (2550591.82173709 6672639.35105497,2550611.98360468 6672531.37627163)","0"
"LINESTRING (2550848.67931049 6672658.8755364,2550854.31374403 6672591.75012918,2550611.98360468 6672531.37627163)","0"
"LINESTRING (2550201.12368093 6672664.92692537,2550192.39567115 6672662.4663606,2550186.32361316 6672660.7531921)","0"
"LINESTRING (2552716.87763174 6672731.24214663,2552714.93074109 6672774.3420393)","0"
"LINESTRING (2552820.54955893 6672756.44793208,2552924.13074122 6672763.97966083)","0"
"LINESTRING (2553281.97914239 6672606.85359586,2553277.10366623 6672627.40831376,2553263.27744279 6672652.12398672,2553117.94535547 6672841.2774029,2553103.3024279 6672864.42271542,2553080.82244051 6672916.39464448)","0"
"LINESTRING (2553099.4993915 6672962.85530854,2553107.57568789 6672931.67815248,2553127.2673319 6672894.5896396,2553233.88434367 6672761.33905474,2553267.48470648 6672712.6678833,2553291.82083963 6672670.94830745,2553306.88449357 6672626.91820127,2553317.88112593 6672579.95742241)","0"
"LINESTRING (2552820.54955893 6672756.44793208,2552817.44773315 6672794.54667685)","0"
"LINESTRING (2552714.93074109 6672774.3420393,2552714.66675592 6672784.95447516)","0"
"LINESTRING (2553015.34586805 6672745.81549163,2553010.66838076 6672823.04321763)","0"
"LINESTRING (2552817.44773315 6672794.54667685,2552714.66675592 6672784.95447516)","0"
"LINESTRING (2552924.13074122 6672763.97966083,2552920.74843119 6672816.49171387)","0"
"LINESTRING (2552714.66675592 6672784.95447516,2552710.18725751 6672835.41605755)","0"
"LINESTRING (2553265.88429637 6672521.71405388,2553279.47953279 6672551.92098724)","0"
"LINESTRING (2553302.1657586 6672544.04918043,2553279.47953279 6672551.92098724)","0"
"LINESTRING (2553317.88112593 6672579.95742241,2553318.40909628 6672569.25496589,2553319.2010518 6672553.2012811,2553314.07808953 6672538.94800957,2553309.49959669 6672526.2050847)","0"
"LINESTRING (2553302.1657586 6672544.04918043,2553306.06778944 6672556.50203872,2553299.92188463 6672575.48639618)","0"
"LINESTRING (2553279.47953279 6672551.92098724,2553283.67029741 6672585.73874939)","0"
"LINESTRING (2553299.92188463 6672575.48639618,2553283.67029741 6672585.73874939)","0"
"LINESTRING (2553299.92188463 6672575.48639618,2553290.7566494 6672596.85130004,2553281.97914239 6672606.85359586)","0"
"LINESTRING (2553283.67029741 6672585.73874939,2553281.97914239 6672606.85359586)","0"
"LINESTRING (2553766.00420676 6673008.67582568,2553881.67920979 6672937.07939222)","0"
"LINESTRING (2553766.00420676 6673008.67582568,2553777.24007569 6673026.16984106)","0"
"LINESTRING (2554121.29525158 6673000.80401887,2554124.14959126 6672992.8321891,2554136.8043805 6672976.64847447)","0"
"LINESTRING (2554136.8043805 6672976.64847447,2554199.89683686 6673020.00842683)","0"
"LINESTRING (2553943.57548334 6672977.86875456,2553960.96550662 6673004.77493031,2553978.33903082 6673032.39126905)","0"
"LINESTRING (2553805.07401238 6673063.04830573,2553911.3857913 6672994.12248526,2553943.57548334 6672977.86875456)","0"
"LINESTRING (2554121.29525158 6673000.80401887,2554186.63158192 6673045.40425591)","0"
"LINESTRING (2554049.23554887 6673047.8248115,2554121.29525158 6673000.80401887)","0"
"LINESTRING (2554199.89683686 6673020.00842683,2554186.63158192 6673045.40425591)","0"
"LINESTRING (2554199.89683686 6673020.00842683,2554280.18957716 6673075.42114566)","0"
"LINESTRING (2554186.63158192 6673045.40425591,2554164.22584035 6673085.17338408)","0"
"LINESTRING (2554049.23554887 6673047.8248115,2554070.61009835 6673083.38297312,2554139.31223964 6673072.14039263,2554164.22584035 6673085.17338408)","0"
"LINESTRING (2553777.24007569 6673026.16984106,2553796.70073267 6673056.45679279,2553805.07401238 6673063.04830573)","0"
"LINESTRING (2553634.0281193 6673094.81559724,2553650.98091713 6673081.34250478,2553766.00420676 6673008.67582568)","0"
"LINESTRING (2553777.24007569 6673026.16984106,2553645.17324333 6673111.86951161)","0"
"LINESTRING (2553805.07401238 6673063.04830573,2553824.5676675 6673093.22523221)","0"
"LINESTRING (2553634.0281193 6673094.81559724,2553645.17324333 6673111.86951161)","0"
"LINESTRING (2553824.5676675 6673093.22523221,2553841.62770931 6673119.39123806)","0"
"LINESTRING (2553670.97779399 6673151.3385709,2553805.07401238 6673063.04830573)","0"
"LINESTRING (2553645.17324333 6673111.86951161,2553670.97779399 6673151.3385709)","0"
"LINESTRING (2553690.94167271 6673181.57551115,2553824.5676675 6673093.22523221)","0"
"LINESTRING (2553532.67431191 6673185.45640193,2553521.78492352 6673168.48250593,2553634.0281193 6673094.81559724)","0"
"LINESTRING (2554186.63158192 6673045.40425591,2554266.63558843 6673100.14682091)","0"
"LINESTRING (2553841.62770931 6673119.39123806,2553978.33903082 6673032.39126905)","0"
"LINESTRING (2553933.34605789 6673124.28236072,2553953.82965741 6673110.05909607,2554049.23554887 6673047.8248115)","0"
"LINESTRING (2554280.18957716 6673075.42114566,2554266.63558843 6673100.14682091)","0"
"LINESTRING (2554280.18957716 6673075.42114566,2554361.72799749 6673132.00413309)","0"
"LINESTRING (2553841.62770931 6673119.39123806,2553846.47018733 6673125.5226454,2553901.79158017 6673127.50309997,2553933.34605789 6673124.28236072)","0"
"LINESTRING (2554164.22584035 6673085.17338408,2554199.18737671 6673104.99793438,2554179.39673827 6673142.46653451,2554229.14144432 6673170.67300871)","0"
"LINESTRING (2554164.22584035 6673085.17338408,2554117.68195452 6673171.4231809)","0"
"LINESTRING (2554266.63558843 6673100.14682091,2554348.16575923 6673156.73981064)","0"
"LINESTRING (2554266.63558843 6673100.14682091,2554229.14144432 6673170.67300871)","0"
"LINESTRING (2554361.72799749 6673132.00413309,2554348.16575923 6673156.73981064)","0"
"LINESTRING (2554361.72799749 6673132.00413309,2554427.1468232 6673177.16449869)","0"
"LINESTRING (2554117.68195452 6673171.4231809,2554115.63606943 6673175.21405101)","0"
"LINESTRING (2553933.34605789 6673124.28236072,2553929.73276083 6673152.81891068,2553941.05112512 6673227.27600073)","0"
"LINESTRING (2554348.16575923 6673156.73981064,2554413.601084 6673201.91017854)","0"
"LINESTRING (2554427.1468232 6673177.16449869,2554452.00267715 6673194.55849112)","0"
"LINESTRING (2554348.16575923 6673156.73981064,2554314.89537788 6673219.28416638)","0"
"LINESTRING (2554427.1468232 6673177.16449869,2554413.601084 6673201.91017854)","0"
"LINESTRING (2554229.14144432 6673170.67300871,2554314.89537788 6673219.28416638)","0"
"LINESTRING (2554229.14144432 6673170.67300871,2554201.92622288 6673221.8547564)","0"
"LINESTRING (2553645.17324333 6673111.86951161,2553541.6498078 6673179.04493031)","0"
"LINESTRING (2553707.49024325 6673207.42144354,2553841.62770931 6673119.39123806)","0"
"LINESTRING (2553670.97779399 6673151.3385709,2553690.94167271 6673181.57551115)","0"
"LINESTRING (2553557.51366679 6673231.25691447,2553565.49921828 6673219.76427657,2553670.97779399 6673151.3385709)","0"
"LINESTRING (2553690.94167271 6673181.57551115,2553707.49024325 6673207.42144354)","0"
"LINESTRING (2553532.67431191 6673185.45640193,2553555.35228819 6673221.02456585,2553557.51366679 6673231.25691447)","0"
"LINESTRING (2553707.49024325 6673207.42144354,2553711.35927594 6673214.26301388,2553785.23387672 6673218.28393679)","0"
"LINESTRING (2553785.23387672 6673218.28393679,2553941.05112512 6673227.27600073)","0"
"LINESTRING (2553350.22755917 6673302.15318721,2553415.786627 6673260.36359529,2553532.67431191 6673185.45640193)","0"
"LINESTRING (2553594.12511048 6673282.25862083,2553707.49024325 6673207.42144354)","0"
"LINESTRING (2554115.63606943 6673175.21405101,2554201.92622288 6673221.8547564)","0"
"LINESTRING (2554452.00267715 6673194.55849112,2554459.60050041 6673182.30567874,2554569.0553528 6673247.02053267)","0"
"LINESTRING (2554115.63606943 6673175.21405101,2554061.72534737 6673270.45591177)","0"
"LINESTRING (2554413.601084 6673201.91017854,2554383.25103864 6673258.04306266)","0"
"LINESTRING (2554314.89537788 6673219.28416638,2554383.25103864 6673258.04306266)","0"
"LINESTRING (2554314.89537788 6673219.28416638,2554289.33006378 6673267.36520236)","0"
"LINESTRING (2554201.92622288 6673221.8547564,2554289.33006378 6673267.36520236)","0"
"LINESTRING (2553941.05112512 6673227.27600073,2553933.32955881 6673324.63834821)","0"
"LINESTRING (2554413.601084 6673201.91017854,2554438.4899361 6673219.2141503,2554482.83119564 6673273.91670612,2554440.93179895 6673360.58659937)","0"
"LINESTRING (2554383.25103864 6673258.04306266,2554358.04045461 6673304.68376805)","0"
"LINESTRING (2553557.51366679 6673231.25691447,2553594.12511048 6673282.25862083)","0"
"LINESTRING (2553785.23387672 6673218.28393679,2553780.15216213 6673315.01613963)","0"
"LINESTRING (2553373.38400857 6673347.72364695,2553377.95425188 6673345.2130707,2553557.51366679 6673231.25691447)","0"
"LINESTRING (2553594.12511048 6673282.25862083,2553609.6342394 6673306.28413538)","0"
"LINESTRING (2553328.45703193 6673316.0363738,2553350.22755917 6673302.15318721)","0"
"LINESTRING (2553609.6342394 6673306.28413538,2553780.15216213 6673315.01613963)","0"
"LINESTRING (2553780.15216213 6673315.01613963,2553933.32955881 6673324.63834821)","0"
"LINESTRING (2553315.58775474 6673324.24825867,2553328.45703193 6673316.0363738)","0"
"LINESTRING (2553609.6342394 6673306.28413538,2553635.94201181 6673348.14374337)","0"
"LINESTRING (2553290.80614662 6673314.91611667,2553302.99071226 6673328.16915863,2553302.86696921 6673339.62178734,2553299.34441706 6673391.5837141)","0"
"LINESTRING (2551364.77032385 6672731.34216959,2551354.76363589 6672659.8357568,2551338.16556813 6672600.86222067,2551303.78974887 6672527.1553028,2551280.31156754 6672498.72877809)","0"
"LINESTRING (2551463.31928878 6672655.41474205,2551445.21980535 6672682.38093157)","0"
"LINESTRING (2551445.21980535 6672682.38093157,2551414.61402435 6672657.84529993)","0"
"LINESTRING (2551619.86249641 6672639.22102512,2551565.23406466 6672717.03888657,2551560.8783093 6672723.22030538)","0"
"LINESTRING (2551560.8783093 6672723.22030538,2551463.31928878 6672655.41474205)","0"
"LINESTRING (2552049.0941383 6672646.49269418,2551986.79363745 6672734.54290425)","0"
"LINESTRING (2551223.79399189 6672702.82562421,2551257.54284637 6672705.78630378,2551259.74547265 6672681.02061934)","0"
"LINESTRING (2551898.24311096 6672671.24837632,2551869.58422061 6672709.98726802,2551852.79641351 6672722.82021355,2551814.84029534 6672778.8930839)","0"
"LINESTRING (2551445.21980535 6672682.38093157,2551422.26959437 6672714.01819323,2551410.92648146 6672738.21374681,2551404.15361186 6672792.61623375)","0"
"LINESTRING (2551217.64808708 6672787.28501008,2551223.79399189 6672702.82562421)","0"
"LINESTRING (2551019.51071562 6672608.30392875,2551020.76464519 6672593.25047355)","0"
"LINESTRING (2551127.20016716 6672617.0459353,2551019.51071562 6672608.30392875)","0"
"LINESTRING (2550698.30675628 6672645.98257709,2550602.61213104 6672640.02120879,2550591.82173709 6672639.35105497)","0"
"LINESTRING (2551013.05132841 6672686.05177413,2551019.51071562 6672608.30392875)","0"
"LINESTRING (2551259.74547265 6672681.02061934,2551264.44770855 6672628.20849743,2551127.20016716 6672617.0459353)","0"
"LINESTRING (2550253.87946787 6672593.78059523,2550350.69603009 6672625.36784542,2550359.91076254 6672651.31380076,2550343.86541374 6672709.73721062)","0"
"LINESTRING (2550848.67931049 6672658.8755364,2550759.02334608 6672651.18377092,2550698.30675628 6672645.98257709)","0"
"LINESTRING (2551121.95346184 6672693.90357635,2551127.20016716 6672617.0459353)","0"
"LINESTRING (2550330.04743984 6672702.39552549,2550210.85813419 6672667.67755672)","0"
"LINESTRING (2550574.05223512 6672733.98277568,2550591.82173709 6672639.35105497)","0"
"LINESTRING (2552518.48452464 6672622.86727146,2552520.49741158 6672638.46085064)","0"
"LINESTRING (2552052.25371084 6672642.65181259,2552049.0941383 6672646.49269418)","0"
"LINESTRING (2552341.77944941 6672696.10408143,2552203.34397474 6672596.17114393)","0"
"LINESTRING (2552203.34397474 6672596.17114393,2552125.79008061 6672703.61580558)","0"
"LINESTRING (2552387.34988991 6672630.48902087,2552341.77944941 6672696.10408143)","0"
"LINESTRING (2552526.30508539 6672709.16707976,2552398.70950189 6672619.20643119)","0"
"LINESTRING (2552125.79008061 6672703.61580558,2552058.51510916 6672648.90324747,2552052.25371084 6672642.65181259)","0"
"LINESTRING (2552520.49741158 6672638.46085064,2552526.30508539 6672709.16707976)","0"
"LINESTRING (2552686.56058452 6672754.70753261,2552520.49741158 6672638.46085064)","0"
"LINESTRING (2552471.23117866 6672787.42504223,2552341.77944941 6672696.10408143)","0"
"LINESTRING (2550591.82173709 6672639.35105497,2550599.98052884 6672638.24080013,2550602.61213104 6672640.02120879,2550605.87894755 6672642.23171616,2550606.43166651 6672647.73297886,2550592.00322689 6672735.47311776)","0"
"LINESTRING (2551121.95346184 6672693.90357635,2551013.05132841 6672686.05177413)","0"
"LINESTRING (2550691.53388668 6672743.71500951,2550698.30675628 6672645.98257709)","0"
"LINESTRING (2551223.79399189 6672702.82562421,2551121.95346184 6672693.90357635)","0"
"LINESTRING (2550343.86541374 6672709.73721062,2550330.04743984 6672702.39552549)","0"
"LINESTRING (2550839.24184055 6672755.95781959,2550848.67931049 6672658.8755364)","0"
"LINESTRING (2550348.51815241 6672712.20777769,2550343.86541374 6672709.73721062)","0"
"LINESTRING (2551005.15652183 6672769.69097174,2551013.05132841 6672686.05177413)","0"
"LINESTRING (2550592.00322689 6672735.47311776,2550574.05223512 6672733.98277568)","0"
"LINESTRING (2551115.93954962 6672778.86307701,2551121.95346184 6672693.90357635)","0"
"LINESTRING (2552125.79008061 6672703.61580558,2552065.32097691 6672790.54575852)","0"
"LINESTRING (2552526.30508539 6672709.16707976,2552471.23117866 6672787.42504223)","0"
"LINESTRING (2552341.77944941 6672696.10408143,2552264.67103026 6672803.61875915)","0"
"LINESTRING (2552264.67103026 6672803.61875915,2552125.79008061 6672703.61580558)","0"
"LINESTRING (2552655.97130259 6672798.9676916,2552526.30508539 6672709.16707976)","0"
"LINESTRING (2552714.93074109 6672774.3420393,2552686.56058452 6672754.70753261)","0"
"LINESTRING (2552686.56058452 6672754.70753261,2552655.97130259 6672798.9676916)","0"
"LINESTRING (2552710.18725751 6672835.41605755,2552655.97130259 6672798.9676916)","0"
"LINESTRING (2552599.25573806 6672877.72576885,2552471.23117866 6672787.42504223)","0"
"LINESTRING (2552655.97130259 6672798.9676916,2552599.25573806 6672877.72576885)","0"
"LINESTRING (2550691.53388668 6672743.71500951,2550592.00322689 6672735.47311776)","0"
"LINESTRING (2550420.92433567 6672772.64164901,2550362.77335176 6672722.40011713,2550348.51815241 6672712.20777769)","0"
"LINESTRING (2550574.05223512 6672733.98277568,2550466.77526042 6672725.76088852,2550455.62188685 6672731.80227519,2550424.33139431 6672768.74075364)","0"
"LINESTRING (2550839.24184055 6672755.95781959,2550691.53388668 6672743.71500951)","0"
"LINESTRING (2551005.15652183 6672769.69097174,2550953.16794181 6672765.38998454,2550839.24184055 6672755.95781959)","0"
"LINESTRING (2550424.33139431 6672768.74075364,2550421.06457779 6672772.48161228)","0"
"LINESTRING (2550421.06457779 6672772.48161228,2550420.92433567 6672772.64164901)","0"
"LINESTRING (2551115.93954962 6672778.86307701,2551005.15652183 6672769.69097174)","0"
"LINESTRING (2551217.64808708 6672787.28501008,2551115.93954962 6672778.86307701)","0"
"LINESTRING (2550343.86541374 6672709.73721062,2550337.37302839 6672735.08302822,2550326.79712239 6672754.11739716,2550231.54797213 6672874.48502501)","0"
"LINESTRING (2551814.84029534 6672778.8930839,2551733.57410971 6672719.28940313)","0"
"LINESTRING (2551733.57410971 6672719.28940313,2551671.70258478 6672805.25913567)","0"
"LINESTRING (2551671.70258478 6672805.25913567,2551560.8783093 6672723.22030538)","0"
"LINESTRING (2551826.95886469 6672789.35548532,2551814.84029534 6672778.8930839)","0"
"LINESTRING (2551326.10474554 6672791.00586413,2551288.89933521 6672793.17636232,2551217.64808708 6672787.28501008)","0"
"LINESTRING (2551630.22391446 6672865.68300469,2551518.43444319 6672784.57438792,2551458.08908254 6672869.86396434)","0"
"LINESTRING (2551404.15361186 6672792.61623375,2551406.58722518 6672821.6629008,2551411.94942401 6672836.31626417,2551458.08908254 6672869.86396434)","0"
"LINESTRING (2551826.95886469 6672789.35548532,2551768.70888634 6672875.39523393)","0"
"LINESTRING (2551671.70258478 6672805.25913567,2551630.22391446 6672865.68300469)","0"
"LINESTRING (2551768.70888634 6672875.39523393,2551671.70258478 6672805.25913567)","0"
"LINESTRING (2550488.11681175 6672823.12323599,2550464.16015729 6672807.15957187,2550420.92433567 6672772.64164901)","0"
"LINESTRING (2550583.90218189 6672856.73094993,2550538.71122008 6672846.5386105,2550506.7607646 6672835.5460874,2550488.11681175 6672823.12323599)","0"
"LINESTRING (2550583.31646479 6672862.86235727,2550583.90218189 6672856.73094993)","0"
"LINESTRING (2550700.91360986 6672866.72324346,2550583.90218189 6672856.73094993)","0"
"LINESTRING (2550700.91360986 6672866.72324346,2550700.55063025 6672872.33453141)","0"
"LINESTRING (2550488.11681175 6672823.12323599,2550582.71424862 6672922.01593473)","0"
"LINESTRING (2550832.79895242 6672878.62597548,2550700.91360986 6672866.72324346)","0"
"LINESTRING (2551018.12479346 6672888.98835394,2551006.26195974 6672888.91833787)","0"
"LINESTRING (2551073.2894451 6672891.40890953,2551050.69396419 6672889.16839527,2551018.12479346 6672888.98835394)","0"
"LINESTRING (2550583.31646479 6672862.86235727,2550579.95890337 6672898.08044084,2550582.71424862 6672922.01593473)","0"
"LINESTRING (2553010.66838076 6672823.04321763,2552920.74843119 6672816.49171387)","0"
"LINESTRING (2553076.24394766 6672827.4142209,2553010.66838076 6672823.04321763)","0"
"LINESTRING (2552817.44773315 6672794.54667685,2552810.48512421 6672890.96880851)","0"
"LINESTRING (2552710.18725751 6672835.41605755,2552706.55746138 6672882.97697416)","0"
"LINESTRING (2553076.24394766 6672827.4142209,2553070.94774513 6672902.73150839,2553080.82244051 6672916.39464448)","0"
"LINESTRING (2552920.74843119 6672816.49171387,2552911.06347515 6672951.98281299)","0"
"LINESTRING (2552810.48512421 6672890.96880851,2552706.55746138 6672882.97697416)","0"
"LINESTRING (2553010.66838076 6672823.04321763,2553001.28865758 6672957.15399993)","0"
"LINESTRING (2552810.48512421 6672890.96880851,2552808.52173448 6672946.28150437)","0"
"LINESTRING (2553080.82244051 6672916.39464448,2553069.64431834 6672961.24493892)","0"
"LINESTRING (2551983.93104823 6672903.21161859,2551826.95886469 6672789.35548532)","0"
"LINESTRING (2552065.32097691 6672790.54575852,2551983.93104823 6672903.21161859)","0"
"LINESTRING (2551725.45656564 6672934.60882516,2551630.22391446 6672865.68300469)","0"
"LINESTRING (2551768.70888634 6672875.39523393,2551725.45656564 6672934.60882516)","0"
"LINESTRING (2551519.86986257 6672942.42061819,2551528.46587977 6672922.28599671,2551458.08908254 6672869.86396434)","0"
"LINESTRING (2551630.22391446 6672865.68300469,2551565.59704427 6672958.69435348)","0"
"LINESTRING (2551428.91872091 6672931.84819151,2551321.59224898 6672912.58376977,2551303.72375258 6672909.38303511)","0"
"LINESTRING (2551923.44544545 6672987.52097002,2551768.70888634 6672875.39523393)","0"
"LINESTRING (2551519.86986257 6672942.42061819,2551428.91872091 6672931.84819151)","0"
"LINESTRING (2551983.93104823 6672903.21161859,2551923.44544545 6672987.52097002)","0"
"LINESTRING (2552471.23117866 6672787.42504223,2552393.38855075 6672896.21001152)","0"
"LINESTRING (2552264.67103026 6672803.61875915,2552203.59971038 6672890.53870979)","0"
"LINESTRING (2552393.38855075 6672896.21001152,2552264.67103026 6672803.61875915)","0"
"LINESTRING (2552706.55746138 6672882.97697416,2552599.25573806 6672877.72576885)","0"
"LINESTRING (2552599.25573806 6672877.72576885,2552521.48735598 6672986.79080243)","0"
"LINESTRING (2552393.38855075 6672896.21001152,2552330.77456751 6672982.3197762)","0"
"LINESTRING (2552521.48735598 6672986.79080243,2552393.38855075 6672896.21001152)","0"
"LINESTRING (2552203.59971038 6672890.53870979,2552122.74600159 6673002.1543288)","0"
"LINESTRING (2552122.74600159 6673002.1543288,2551983.93104823 6672903.21161859)","0"
"LINESTRING (2552599.25573806 6672877.72576885,2552579.46509962 6673027.76020609)","0"
"LINESTRING (2551073.2894451 6672891.40890953,2551059.89219756 6672896.0199679)","0"
"LINESTRING (2550700.55063025 6672872.33453141,2550697.16832022 6672918.51513119)","0"
"LINESTRING (2551303.72375258 6672909.38303511,2551073.2894451 6672891.40890953)","0"
"LINESTRING (2551059.89219756 6672896.0199679,2550992.71622055 6672922.88613446,2550967.96761057 6672935.59905244,2550937.08134532 6672957.33404125)","0"
"LINESTRING (2550815.97814718 6672914.40418761,2550828.50094382 6672934.2787494,2550852.05337098 6672955.32357979)","0"
"LINESTRING (2550697.16832022 6672918.51513119,2550657.99952016 6672973.34771685)","0"
"LINESTRING (2550582.71424862 6672922.01593473,2550589.26438072 6672929.83773005,2550647.39886556 6672972.07742528,2550657.99952016 6672973.34771685)","0"
"LINESTRING (2550792.82169777 6672954.823465,2550821.66207793 6672950.57248928,2550852.05337098 6672955.32357979)","0"
"LINESTRING (2550852.05337098 6672955.32357979,2550885.08451576 6672967.19630493,2550914.81584588 6672972.84760206)","0"
"LINESTRING (2550852.05337098 6672955.32357979,2550859.11497436 6672960.73482183,2550867.26551658 6672976.25838494,2550869.44339426 6673004.91496245)","0"
"LINESTRING (2552706.55746138 6672882.97697416,2552692.5414986 6673061.62797972)","0"
"LINESTRING (2552579.46509962 6673027.76020609,2552521.48735598 6672986.79080243)","0"
"LINESTRING (2552521.48735598 6672986.79080243,2552459.21160374 6673074.48092985)","0"
"LINESTRING (2552330.77456751 6672982.3197762,2552250.07759991 6673094.85560643)","0"
"LINESTRING (2552579.46509962 6673027.76020609,2552578.49990383 6673039.14281873,2552576.74275252 6673055.24651499)","0"
"LINESTRING (2552122.74600159 6673002.1543288,2552061.53443958 6673087.61394425)","0"
"LINESTRING (2552250.07759991 6673094.85560643,2552122.74600159 6673002.1543288)","0"
"LINESTRING (2552582.55867586 6673055.51657698,2552576.74275252 6673055.24651499)","0"
"LINESTRING (2552692.5414986 6673061.62797972,2552582.55867586 6673055.51657698)","0"
"LINESTRING (2552692.5414986 6673061.62797972,2552692.16201991 6673088.9342473)","0"
"LINESTRING (2552849.24144743 6672948.6220416,2552808.52173448 6672946.28150437)","0"
"LINESTRING (2552911.06347515 6672951.98281299,2552849.24144743 6672948.6220416)","0"
"LINESTRING (2553001.28865758 6672957.15399993,2552911.06347515 6672951.98281299)","0"
"LINESTRING (2553069.64431834 6672961.24493892,2553001.28865758 6672957.15399993)","0"
"LINESTRING (2553099.4993915 6672962.85530854,2553069.64431834 6672961.24493892)","0"
"LINESTRING (2552808.52173448 6672946.28150437,2552800.23095014 6673040.09303683)","0"
"LINESTRING (2552849.24144743 6672948.6220416,2552841.95710656 6673043.23375772)","0"
"LINESTRING (2552911.06347515 6672951.98281299,2552904.64533563 6673047.97484594)","0"
"LINESTRING (2553001.28865758 6672957.15399993,2552994.86226853 6673053.92621195)","0"
"LINESTRING (2553069.64431834 6672961.24493892,2553064.46360932 6673023.97933827,2553058.11971562 6673058.3372244)","0"
"LINESTRING (2551565.59704427 6672958.69435348,2551519.86986257 6672942.42061819)","0"
"LINESTRING (2551612.3884162 6672988.061094,2551565.59704427 6672958.69435348)","0"
"LINESTRING (2551725.45656564 6672934.60882516,2551661.514407 6673021.63880105)","0"
"LINESTRING (2551878.64221186 6673047.83481379,2551725.45656564 6672934.60882516)","0"
"LINESTRING (2551661.514407 6673021.63880105,2551612.3884162 6672988.061094)","0"
"LINESTRING (2551923.44544545 6672987.52097002,2551878.64221186 6673047.83481379)","0"
"LINESTRING (2552061.53443958 6673087.61394425,2551923.44544545 6672987.52097002)","0"
"LINESTRING (2551325.1972965 6672931.52811805,2551327.47416862 6672946.53156177,2551311.15658511 6673112.77972053,2551314.92662336 6673157.73003792)","0"
"LINESTRING (2551825.4079518 6673124.78247551,2551801.12956541 6673120.0113804,2551661.514407 6673021.63880105)","0"
"LINESTRING (2551949.77796646 6673099.60669694,2551878.64221186 6673047.83481379)","0"
"LINESTRING (2551612.3884162 6672988.061094,2551655.09626748 6673173.83373419)","0"
